Date,Year,Julian_Date,time,Site,Cl,NO3,PO4,SO4 ,TN,TP,stage,temperature ,dox,pH,clarity,Turbidity ,Ecoli ,"1,7-Dimethylxanthine",Acetaminophen,Amphetamine ,Caffeine,Carbamazepine,Cimetidine ,Cotinine,Diphenhydramine,MDMA,Methamphetamine,Morphine ,Sulfadimethoxine ,Sulfamethoxazole,Thiabendazole ,d15N-NO3 ,d18O-NO3  ,Ca,HCO3,K ,Mg,Na ,,
9-Jan-99,1999,9,NA,DRKR,,,36.1,24.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-99,1999,9,NA,GFCP,2056.6,1.77,153.9,24,2.77,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-99,1999,9,NA,GFGB,409.2,2.52,11.3,10.69,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-99,1999,9,NA,GFGL,1357.1,1.08,194.9,16.33,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-99,1999,9,NA,GFVN,2457.9,2.25,10.9,23.82,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan-99,1999,9,NA,POBR,2.78,0.01,6.2,3.41,0.29,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,BARN,115.5,1.18,7.2,5.59,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,DRKR,1702.42,0.68,17.7,24.15,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,GFCP,1011.6,0.87,91.2,17.38,1.79,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,GFGB,468.1,1.07,61.2,12.73,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,GFGL,108.94,1.21,,21.81,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,GFVN,657.2,1.16,35.3,14.5,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-99,1999,15,NA,POBR,2.49,0.01,5.5,4.31,0.18,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,BARN,27.48,1.49,4.3,3.84,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,DRKR,210.95,1.06,11.1,34.54,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,GFCP,78.05,1.08,34.2,19.84,1.38,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,GFGB,40.93,1.75,19.2,13.24,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,GFGL,76.72,1.96,47.9,29.06,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,GFVN,68.77,1.01,23.7,15.46,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-99,1999,25,NA,POBR,2.39,0.01,5.7,2.87,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,BARN,24.22,1.67,3,3.1,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,DRKR,352.05,0.84,8.1,39.28,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,GFCP,81.77,1.60,20.3,23.2,1.75,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,GFGB,40.09,2.38,8.5,9.95,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,GFGL,82.54,2.52,32,30.41,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,GFVN,66.86,1.75,8.8,15.47,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-99,1999,28,NA,POBR,2.77,0.01,7.7,1.83,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
2-Feb-99,1999,33,NA,GFCP,68.97,1.21,,20.13,1.28,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
2-Feb-99,1999,33,NA,GFGB,35.9,2.14,7.2,11.03,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
2-Feb-99,1999,33,NA,GFGL,73.66,2.22,28.7,29.23,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
2-Feb-99,1999,33,NA,GFVN,61.83,1.41,9.5,15.23,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
2-Feb-99,1999,33,NA,POBR,2.42,0.01,6,1.85,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,BARN,23.51,1.85,1.5,2.65,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,DRKR,266.17,0.91,5.2,41.22,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,GFCP,61.51,1.57,11.1,21.76,1.6,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,GFGB,38.61,2.40,1.5,8.4,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,GFGL,74.24,2.55,6.8,28.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,GFVN,52.31,1.65,1.5,13.01,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-99,1999,42,NA,POBR,2.29,0.01,1.5,1.52,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,BARN,17.1,0.95,4.3,5.11,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,DRKR,47,0.47,11.4,12.32,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,GFCP,33.5,0.89,31.9,11.21,1.63,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,GFGB,14.62,0.74,16.9,9.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,GFGL,27.66,1.15,18,17.82,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,GFVN,24.91,0.81,13,9.95,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-99,1999,49,NA,POBR,2.25,0.01,4,4.43,0.1,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,BARN,26.01,1.89,1.5,2.75,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,DRKR,764.35,1.29,4,47.85,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,GFCP,103.2,1.62,2.3,21.92,1.63,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,GFGB,38.65,2.53,2,7.99,,,,,,,NA,,,,,,,,,,,,,,,,,,,19.25,43.66,1.57,7.68,16.26,,
25-Feb-99,1999,56,NA,GFGL,72.57,3.03,4.5,27.56,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,GFVN,60.48,1.89,1.5,13.63,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,POBR,2.72,0.01,2.5,1.7,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-99,1999,56,NA,RGHT,95.62,1.78,16.3,17.03,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,BARN,22.12,1.39,3.1,3.51,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,DRKR,224.71,0.68,9.1,19.38,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,GFCP,83.81,1.12,9.2,14.99,1.26,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,GFGB,194.9,1.15,6.4,9.65,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,GFGL,376.5,1.20,9.3,16.99,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,GFVN,99.04,1.20,5.7,12.88,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
4-Mar-99,1999,63,NA,POBR,2.2,0.01,3.3,2.65,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,BARN,47.97,1.70,1.5,3.22,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,DRKR,4628.9,0.01,10.5,37.26,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,GFCP,1385.6,1.70,6.1,28.33,1.67,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,GFGB,512,2.28,2.4,12.42,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,GFGL,101.7,2.42,4.7,12.88,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,GFVN,399.3,1.72,1.5,16.42,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-99,1999,70,NA,POBR,2.66,0.01,2.5,1.94,,,,,,,NA,,,,,,,,,,,,,,,,,,,1.04,14.06,0.79,0.72,2.27,,
16-Mar-99,1999,75,NA,BARN,96.59,1.51,1.5,3.84,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-99,1999,75,NA,DRKR,1066.99,0.95,5.2,33.56,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-99,1999,75,NA,GFCP,557.6,1.38,4.9,21.26,1.45,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-99,1999,75,NA,GFGB,265.3,1.36,4,21.28,,,,,,,NA,,,,,,,,,,,,,,,,,,,16.07,36.44,1.8,4.55,105.19,,
16-Mar-99,1999,75,NA,GFGL,,1.94,6,25.31,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-99,1999,75,NA,GFVN,325.8,,10.2,8.35,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-99,1999,75,NA,POBR,2.35,0.01,1.5,2.25,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-99,1999,75,NA,RGHT,50.19,0.18,84.4,2.35,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,BARN,29.43,1.32,1.5,4.68,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,DRKR,270.85,1.04,4,34.07,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,GFCP,85.94,1.30,8.8,20.63,1.39,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,GFGB,41.32,1.99,4.7,11.75,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,GFGL,,,8,,,,,,,,NA,,,,,,,,,,,,,,,,,,,36.01,81.66,1.6,14.76,27.97,,
23-Mar-99,1999,82,NA,GFVN,67.53,1.36,6.7,15.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,POBR,2.53,0.01,1.5,2.82,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-99,1999,82,NA,RGHT,61.35,2.48,24.8,18.8,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,BARN,24.55,1.63,2.7,3.39,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,DRKR,272.75,0.18,10,39.05,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,GFCP,61.1,1.16,9.3,20.39,1.25,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,GFGB,36.91,2.21,3.9,8.23,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,GFGL,69.63,2.04,8.6,26.42,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,GFVN,285.4,1.54,4,14.42,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,POBR,2.33,0.01,2.2,1.71,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-99,1999,89,NA,RGHT,62.65,1.60,26.9,22.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,BARN,21.6,1.34,1.5,4.25,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,DRKR,199.35,0.40,4.2,31.3,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,GFCP,53.38,1.04,9.3,17.82,1.23,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,GFGB,31.91,1.72,4.2,10.61,,,,,,,NA,,,,,,,,,,,,,,,,,,,21.11,47.88,1.84,7.48,16.69,,
6-Apr-99,1999,96,NA,GFGL,57.48,1.46,12,24.11,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,GFVN,46.3,1.21,5.8,14.56,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,POBR,2.25,0.01,1.5,2.47,0.1,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr-99,1999,96,NA,RGHT,34,1.94,104.5,14.83,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,BARN,20.98,1.38,1.5,4.1,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,DRKR,177.57,0.22,6.2,34.52,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,GFCP,49.62,1.13,10.3,18.61,1.21,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,GFGB,31.39,1.85,7.7,9.89,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,GFGL,61.04,1.68,11.4,24.42,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,GFVN,41.72,1.27,6.7,14.26,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,POBR,2.17,0.01,1.5,2.23,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-99,1999,103,NA,RGHT,39.93,1.90,73.5,15.8,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,BARN,21.61,1.59,2.7,3.41,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,DRKR,272.14,0.12,4,41.7,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,GFCP,50.59,1.37,6.5,19.4,1.53,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,GFGB,35.31,2.12,3.2,7.71,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,GFGL,73.86,1.86,8.9,24.2,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,GFVN,41.64,1.58,3.5,14.05,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,POBR,2.15,0.01,3.4,1.67,0.01,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
20-Apr-99,1999,110,NA,RGHT,39.04,2.49,226.9,18.89,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,
